ID,m/z,CCS
182,95.0858,113.28
111,123.117,122.82
127,109.1013,118.11
99,137.1325,127.9
122,207.2106,155.64
179,151.148,132.25
81,263.2732,174.41
118,221.2262,160.3
83,277.2888,179.48
142,249.2575,169.83
135,235.2418,164.88
108,319.3356,192.35
138,305.3199,188.24
125,291.3042,183.73
147,333.351,196.95
163,107.0857,115.38
110,121.1011,120.11
128,135.116,124.78
143,149.1312,129.29
168,97.065,118.18
185,139.1118,126.35
94,153.1274,130.74
151,167.1429,135.44
25,133.1015,122.67
31,119.0858,117.35
73,105.0701,112.52
106,119.0857,124.66
167,91.0544,108.25
198,105.07,122.18
68,147.1167,128.53
121,161.1322,133.36
171,175.1474,138.36
195,109.065,112.81
116,137.0962,124.04
161,123.0805,118.8
74,151.1117,129.51
115,165.1273,134.35
178,179.1429,139.83
33,145.1015,126.19
44,159.1171,131.45
45,131.0858,121.29
196,103.0544,112.01
82,117.0699,116.62
85,173.1323,136.65
153,201.1634,146.77
133,187.1475,141.7
112,144.0927,124.17
34,149.0964,127.5
70,135.0807,122.56
55,163.112,133.05
144,121.0649,117.3
102,177.1274,138.51
105,233.1899,155.71
117,219.1741,151.65
164,247.2051,160.53
64,115.0546,113.96
56,129.0698,118.71
38,143.0834,122.14
16,157.0976,127.07
21,185.1287,138.35
14,171.113,132.5
76,153.0906,127.79
46,128.0624,116.83
42,212.1561,150.52
10,198.1404,144.52
155,226.1709,155.68
35,147.0808,124.5
47,161.0963,130.38
61,133.065,119.44
57,175.1119,135.97
72,189.1275,140.82
124,203.1426,145.56
183,245.1894,159.93
159,231.1735,154.65
5,141.0702,121.16
2,155.0857,126.6
1,169.1013,132.33
3,183.1163,138.28
22,210.1405,148.42
11,196.1247,142.22
67,224.1557,154.56
189,263.1994,163.53
158,249.1835,159.32
152,238.171,160.51
109,145.065,122.3
88,159.0802,127.95
187,243.1737,156.88
62,173.0952,133.03
69,187.1105,138.23
27,167.0857,130.26
13,181.1012,135.76
75,153.0699,125.29
41,200.1199,143.05
114,177.0912,133.54
146,163.0753,128.73
172,261.184,164.45
130,247.1682,158.34
80,152.0626,123.76
53,236.156,155.91
8,208.1247,144.59
19,222.1402,150.23
24,171.0808,131.53
60,157.0651,126.82
26,185.0964,136.77
90,241.1588,156.67
141,269.1898,166.67
104,255.1741,161.64
96,213.1271,148.24
150,227.1427,152.39
51,165.0702,127.21
28,179.0858,132.85
9,193.1005,138.38
71,198.1034,141.52
201,212.119,146.32
175,175.0754,132.4
197,161.0597,127.11
63,203.1066,142.43
93,189.0909,137.34
134,259.1685,161.03
29,178.0783,130.47
23,234.1406,154.04
4,206.1092,142.12
84,248.1561,159.77
7,220.1248,148.05
136,183.0804,135.24
97,211.1115,145.77
101,197.0958,140.05
173,225.1268,151.31
6,191.0855,136.15
184,238.1342,154.42
199,210.1027,143.85
86,224.1183,148.92
157,187.0755,135.66
180,201.0909,140.71
52,204.0941,140.19
18,218.1094,146.14
30,246.1407,158.61
15,232.1249,152.32
78,260.1559,164.64
66,195.0809,138.12
58,209.0965,143.29
139,181.0649,132.68
169,237.1275,153.9
37,149.0236,130.19
149,149.0235,222.56
202,289.18,168.91
91,208.0884,142.91
49,222.1036,147.84
107,236.1191,153.02
174,250.1345,157.96
65,202.0783,136.45
36,258.1407,159.92
12,230.1092,148.14
17,244.1248,154.09
100,272.1561,165.7
154,207.0802,140.49
200,235.1107,152.01
177,391.2845,212.86
20,215.086,142.11
123,248.1195,155.5
119,234.1037,149.84
156,284.1568,169.18
50,228.094,146.05
39,256.1252,157.46
77,270.1408,163.19
32,242.1095,151.69
148,274.1353,163.69
170,260.1191,158.34
126,282.1406,166.88
132,254.1093,154.3
103,268.1249,160.48
176,296.1562,172.65
92,259.1122,157.39
54,231.0807,145.7
40,245.0961,151.7
145,258.104,156.96
165,272.1196,161.52
43,266.1097,156.64
48,252.0939,150.51
59,280.1251,162.92
190,308.1563,174.87
98,294.1406,168.86
137,278.1093,160.47
160,306.1406,172.27
129,292.1249,166.14
89,290.1097,162.28
79,276.094,156.29
131,304.125,168.23
194,318.1404,174.28
120,316.1252,171.36
181,330.1408,177.49
95,302.1094,165.56
166,340.1259,176.63
87,326.1098,170.3
191,352.1254,181.23
113,350.11,175.44
162,376.1256,186.31
188,374.1102,180.79
140,400.126,190.89
193,426.1417,202.34
186,424.1259,195.12
192,450.1421,207.67
